drug.name,Genes,PPI,GO_BP,GO_CC,GO_MF,KEGG,Reactome,score
D-leucyl-N-(3-chlorobenzyl)-L-prolinamide,1147,1522,1117,1458,1794,1462,872,1338.85714285714
D-leucyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,1147,1522,1117,1458,1794,1462,872,1338.85714285714
D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide,1147,1522,1117,1458,1794,1462,872,1338.85714285714
D-phenylalanyl-N-(3-fluorobenzyl)-L-prolinamide,1147,1522,1117,1458,1794,1462,872,1338.85714285714
D-phenylalanyl-N-(3-methylbenzyl)-L-prolinamide,1147,1522,1117,1458,1794,1462,872,1338.85714285714
D-phenylalanyl-N-benzyl-L-prolinamide,1147,1522,1117,1458,1794,1462,872,1338.85714285714
Dabigatran etexilate,1147,1522,1117,1458,1794,1462,872,1338.85714285714
Orphenadrine,820,1555,1076,1304,1793,1784,1041,1339
Trimethaphan,1147,1972,1550,408,1794,1462,1041,1339.14285714285
BLXA4,1147,1012,1451,1860,1794,1071,1041,1339.42857142857
Cefuroxime,1147,1012,1451,1860,1794,1071,1041,1339.42857142857
"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",1147,1012,1141,1860,1309,1867,1041,1339.57142857142
2-Cyclopropylmethylenepropanal,1147,1012,1141,1860,1309,1867,1041,1339.57142857142
2-Methyl-3-(2-Aminothiazolo)Propanal,1147,1012,1141,1860,1309,1867,1041,1339.57142857142
Enalkiren,1147,1012,1141,1860,1309,1867,1041,1339.57142857142
N-Methyl-N-(Methylbenzyl)Formamide,1147,1012,1141,1860,1309,1867,1041,1339.57142857142
Remikiren,1147,1012,1141,1860,1309,1867,1041,1339.57142857142
Tinoridine,1147,1012,1141,1860,1309,1867,1041,1339.57142857142
Mefloquine,1147,1402,1251,1078,1794,1667,1041,1340
Metocurine,1147,1517,2161,1137,1465,913,1041,1340.14285714285
Metaraminol,1147,1840,1496,1458,1175,1226,1041,1340.42857142857
Siponimod,1147,1559,1891,863,1794,1092,1041,1341
Eprosartan,290,1488,1683,1860,1359,1667,1041,1341.14285714285
Forasartan,290,1488,1683,1860,1359,1667,1041,1341.14285714285
Saprisartan,290,1488,1683,1860,1359,1667,1041,1341.14285714285
Bindarit,1147,1972,807,1660,1359,1408,1041,1342
Ciclesonide,1147,1972,807,1660,1359,1408,1041,1342
Alfuzosin,1147,1858,1420,1458,1259,1226,1041,1344.14285714285
Bunazosin,1147,1858,1420,1458,1259,1226,1041,1344.14285714285
Midodrine,1147,1858,1420,1458,1259,1226,1041,1344.14285714285
Silodosin,1147,1858,1420,1458,1259,1226,1041,1344.14285714285
Tamsulosin,1147,1858,1420,1458,1259,1226,1041,1344.14285714285
Imidazole,1147,1343,942,1511,1777,1651,1041,1344.57142857142
Patidegib,696,1091,1337,1587,1794,1867,1041,1344.71428571428
Preladenant,1147,1379,1289,1219,1794,1549,1041,1345.42857142857
Regadenoson,1147,1379,1289,1219,1794,1549,1041,1345.42857142857
T-62,1147,1379,1289,1219,1794,1549,1041,1345.42857142857
Pyridostigmine,1147,1338,1634,1438,1396,1425,1041,1345.57142857142
3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid,1147,1972,1656,1137,1569,903,1041,1346.42857142857
Pidotimod,1147,1972,1656,1137,1569,903,1041,1346.42857142857
"1,3-DIPHENYLUREA",290,875,1702,1860,1794,1867,1041,1347
4-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}BUTANOIC ACID,290,875,1702,1860,1794,1867,1041,1347
N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE,290,875,1702,1860,1794,1867,1041,1347
Trihexyphenidyl,1147,1878,1799,881,1605,1083,1041,1347.71428571428
Diphenylpyraline,1147,1827,1977,726,852,1867,1041,1348.14285714285
Rilpivirine,1147,1972,1341,1860,827,1249,1041,1348.14285714285
Aprobarbital,1147,1622,1286,1043,1715,1584,1041,1348.28571428571
Barbituric acid derivative,1147,1622,1286,1043,1715,1584,1041,1348.28571428571
Heptabarbital,1147,1622,1286,1043,1715,1584,1041,1348.28571428571
Ezogabine,1147,1595,1952,1628,1020,1354,752,1349.71428571428
Oxothiazolidinecarboxylic acid,1147,1972,772,863,1794,1867,1041,1350.85714285714
Bafilomycin A1,1147,752,1460,1856,1794,1408,1041,1351.14285714285
SJG-136,1147,763,1765,1860,1020,1867,1041,1351.85714285714
Betamethasone,1147,1345,2143,1587,852,1354,1041,1352.71428571428
Flumethasone,1147,1345,2143,1587,852,1354,1041,1352.71428571428
Methantheline,1147,1625,1730,1628,1309,991,1041,1353
Ethopropazine,1147,1836,1526,968,1694,1266,1041,1354
Amcinonide,1147,1918,1444,934,1128,1867,1041,1354.14285714285
"4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol",1147,1379,1309,1264,1794,1549,1041,1354.71428571428
Benzofuran-2-Carboxylic Acid {(S)-3-Methyl-1-[3-Oxo-1-(Pyridin-2-Ylsulfonyl)Azepan-4-Ylcarbamoyl]Butyl}Amide,1147,1379,1309,1264,1794,1549,1041,1354.71428571428
Istradefylline,1147,1379,1309,1264,1794,1549,1041,1354.71428571428
Doxifluridine,290,875,2005,1860,1794,1623,1041,1355.42857142857
Thymine,290,875,2005,1860,1794,1623,1041,1355.42857142857
"N,N-dimethylformamide",1147,1091,1085,1860,1406,1867,1041,1356.71428571428
Ticrynafen,1147,1091,1243,1860,1250,1867,1041,1357
Acetazolamide,1110,1364,1215,1115,1794,1867,1041,1358
D-Aspartic Acid,1147,798,2240,1860,1794,1035,639,1359
Bradanicline,1147,1972,1489,610,1794,1462,1041,1359.28571428571
CD564,1147,1478,1409,779,1794,1867,1041,1359.28571428571
Dodecyl-Alpha-D-Maltoside,1147,1478,1409,779,1794,1867,1041,1359.28571428571
Imidacloprid,1147,1972,1489,610,1794,1462,1041,1359.28571428571
Sofinicline,1147,1972,1489,610,1794,1462,1041,1359.28571428571
"3,4-DIHYDRO-4-OXO-3-((5-TRIFLUOROMETHYL-2-BENZOTHIAZOLYL)METHYL)-1-PHTHALAZINE ACETIC ACID",534,1091,1335,1860,1794,1867,1041,1360.28571428571
Bromfenac,1147,1972,897,1400,1794,1272,1041,1360.42857142857
N-Formylmethionine,1147,1855,1034,1860,725,1867,1041,1361.28571428571
Binodenoson,1147,1397,1318,1285,1794,1549,1041,1361.57142857142
MMDA,1147,1892,1167,750,1677,1861,1041,1362.14285714285
Cholic Acid,1026,1387,1581,1848,796,1857,1041,1362.28571428571
MLN8054,1147,980,1935,1860,707,1867,1041,1362.42857142857
Primidone,1147,1692,1267,1204,1462,1731,1041,1363.42857142857
Remoxipride,1147,1798,1362,1701,1216,1280,1041,1363.57142857142
"Alpha,Beta-Methyleneadenosine-5'-Triphosphate",1147,1881,1520,1264,1616,1092,1041,1365.85714285714
Pyridoxine,1147,520,1813,1750,1794,1846,694,1366.28571428571
Phenylbutazone,1147,1972,984,1438,1249,1735,1041,1366.57142857142
Tenocyclidine,1147,1316,1425,1387,1794,1456,1041,1366.57142857142
Darunavir,1147,1141,1279,1860,1794,1313,1041,1367.85714285714
Dextrothyroxine,1147,1168,1736,1343,1794,1354,1041,1369
Liotrix,1147,1168,1736,1343,1794,1354,1041,1369
Hexamethonium,909,1642,1743,1167,1216,1867,1041,1369.28571428571
Dimetindene,1147,1736,2227,1137,1309,991,1041,1369.71428571428
Misoprostol,909,1689,1322,1860,1794,1266,752,1370.28571428571
Estazolam,696,1168,1172,1860,1794,1867,1041,1371.14285714285
Zomepirac,696,1168,1172,1860,1794,1867,1041,1371.14285714285
Methoxyflurane,1147,1606,1608,1457,1070,1678,1041,1372.42857142857
Obeticholic acid,1147,1359,1978,1860,763,1462,1041,1372.85714285714
2-Methyl-2-Propanol,1147,1126,1813,1860,1794,830,1041,1373
Caprylic alcohol,290,993,2148,1796,1794,1549,1041,1373
Ivacaftor,290,993,2148,1796,1794,1549,1041,1373
2'-Monophosphoadenosine 5'-Diphosphoribose,834,1224,1282,1860,1694,1678,1041,1373.28571428571
Guanabenz,1147,1798,1363,1343,1569,1354,1041,1373.57142857142
D-Lysine,1147,562,1760,1530,1794,1785,1041,1374.14285714285
Fluticasone propionate,1147,1241,2236,1773,1046,1135,1041,1374.14285714285
Roxadustat,1147,1168,1517,1860,1794,1092,1041,1374.14285714285
Methylscopolamine bromide,1147,1806,1853,1167,1406,1201,1041,1374.42857142857
Oxyphencyclimine,1147,1806,1853,1167,1406,1201,1041,1374.42857142857
Hydroxyzine,534,1633,1503,1860,1185,1867,1041,1374.71428571428
1-Hydroxy-3-Methylbutane,1147,1091,1295,1860,1324,1867,1041,1375
Cellobiose,1147,818,1988,1860,1309,1867,639,1375.42857142857
Putrescine,1147,1364,1030,1860,1522,1851,861,1376.42857142857
9-(N-methyl-L-isoleucine)-cyclosporin A,290,875,1914,1860,1794,1867,1041,1377.28571428571
Diphenidol,1147,1806,1875,1167,1406,1201,1041,1377.57142857142
Propantheline,1147,1806,1875,1167,1406,1201,1041,1377.57142857142
Tropicamide,1147,1806,1875,1167,1406,1201,1041,1377.57142857142
Kojic acid,534,1012,2147,1796,1547,1568,1041,1377.85714285714
Ezutromid,1147,1972,1624,1321,679,1867,1041,1378.71428571428
2-ACETYLAMINO-4-METHYL-PENTANOIC ACID [1-(1-FORMYL-PENTYLCARBAMOYL)-3-METHYL-BUTYL]-AMIDE,1147,537,1914,1860,1794,1867,538,1379.57142857142
Oxyquinoline,1147,537,1914,1860,1794,1867,538,1379.57142857142
Para-Iodo-D-Phenylalanine Hydroxamic Acid,1147,537,1914,1860,1794,1867,538,1379.57142857142
Succimer,1147,1972,2092,541,997,1867,1041,1379.57142857142
Thiorphan,1147,1012,2074,726,1794,1867,1041,1380.14285714285
Tetrabenazine,1147,1888,1507,1387,1132,1568,1041,1381.42857142857
Cyclizine,1147,1819,1889,1285,1154,1338,1041,1381.85714285714
Oxybutynin,1147,1629,1928,1400,872,1781,918,1382.14285714285
Benzenesulfinic acid,1147,1091,2240,1860,1132,1172,1041,1383.28571428571
Ephedrine,534,1260,2238,1219,1794,1602,1041,1384
(3r)-1-Acetyl-3-Methylpiperidine,1147,1271,1671,1458,1406,1867,872,1384.57142857142
7-AMINO-4-METHYL-CHROMEN-2-ONE,1147,1271,1671,1458,1406,1867,872,1384.57142857142
Ethyl Oxo(Piperidin-1-Yl)Acetate,1147,1271,1671,1458,1406,1867,872,1384.57142857142
Aclidinium,1147,1806,1935,1167,1406,1201,1041,1386.14285714285
Fesoterodine,1147,1806,1935,1167,1406,1201,1041,1386.14285714285
Metixene,1147,1806,1935,1167,1406,1201,1041,1386.14285714285
Pirenzepine,1147,1806,1935,1167,1406,1201,1041,1386.14285714285
Procyclidine,1147,1806,1935,1167,1406,1201,1041,1386.14285714285
Tolrestat,696,1168,1279,1860,1794,1867,1041,1386.42857142857
Oxfenicine,1147,1972,1517,1307,1259,1867,639,1386.85714285714
Dutasteride,1147,1482,1681,1219,1794,1354,1041,1388.28571428571
2-[N'-(4-AMINO-BUTYL)-HYDRAZINOCARBONYL]-PYRROLIDINE-1-CARBOXYLIC ACID BENZYL ESTER,1147,1972,2160,453,1794,1172,1041,1391.28571428571
Tanaproget,1147,808,2240,1860,910,1739,1041,1392.14285714285
Daglutril,1147,1168,2234,497,1794,1867,1041,1392.57142857142
Tridolgosir,1147,580,1963,1860,1794,1867,538,1392.71428571428
Etidronic acid,696,1552,2067,1835,881,1678,1041,1392.85714285714
Chlorthalidone,1147,1091,1298,1860,1465,1867,1041,1395.57142857142
Torasemide,1147,1091,1298,1860,1465,1867,1041,1395.57142857142
Enflurane,1147,1596,1585,1436,1295,1678,1041,1396.85714285714
Pranlukast,1147,1247,1459,1860,1540,1591,937,1397.28571428571
Cyclopentolate,1147,1840,1956,1628,1259,913,1041,1397.71428571428
Cycrimine,1147,1840,1956,1628,1259,913,1041,1397.71428571428
Icosapent ethyl,1147,981,1613,1860,1794,1348,1041,1397.71428571428
Sobetirome,1147,1840,1956,1628,1259,913,1041,1397.71428571428
6-phospho-D-gluconic acid,290,875,2240,1860,1794,1685,1041,1397.85714285714
Barasertib,1147,1508,1656,1860,725,1867,1041,1400.57142857142
4-(1H-IMIDAZOL-1-YL)PHENOL,1147,1271,1397,1860,1794,1297,1041,1401
4r-Fluoro-N6-Ethanimidoyl-L-Lysine,1147,1271,1397,1860,1794,1297,1041,1401
L-Thiocitrulline,1147,1271,1397,1860,1794,1297,1041,1401
Thiocoumarin,1147,1271,1397,1860,1794,1297,1041,1401
Udenafil,534,1012,1945,1860,1794,1623,1041,1401.28571428571
Strontium ranelate,1147,1972,1034,955,1794,1867,1041,1401.42857142857
Cloxazolam,834,1224,1198,1860,1794,1867,1041,1402.57142857142
2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE,1147,1972,1071,1728,993,1867,1041,1402.71428571428
Olopatadine,1147,1696,1922,813,1794,1425,1041,1405.42857142857
Acetoacetic Acid,290,875,2240,1860,1794,1739,1041,1405.57142857142
Sagopilone,1147,848,2240,1860,1794,1354,606,1407
Sotagliflozin,1147,1614,1711,678,1794,1867,1041,1407.42857142857
Mizolastine,696,1639,1577,1860,1250,1790,1041,1407.57142857142
Oxybuprocaine,1147,1972,1335,1860,633,1867,1041,1407.85714285714
Hexocyclium,1147,1736,2227,1098,1406,1201,1041,1408
Deserpidine,1147,1475,1473,1750,1238,1738,1041,1408.85714285714
8-azaguanine,1147,1972,1663,991,1185,1867,1041,1409.42857142857
Gadopentetate dimeglumine,534,1091,2074,1860,1528,1739,1041,1409.57142857142
Almotriptan,1147,1704,1853,1307,1359,1462,1041,1410.42857142857
Frovatriptan,1147,1704,1853,1307,1359,1462,1041,1410.42857142857
Dimethylallyl Diphosphate,1147,1972,1610,1379,988,1739,1041,1410.85714285714
Aminoglutethimide,1147,1460,1711,1860,922,1739,1041,1411.42857142857
Trimethoprim,1147,1838,973,1860,1401,1621,1041,1411.57142857142
Uridine-5'-Diphosphate,1147,1972,2240,779,1794,913,1041,1412.28571428571
Naratriptan,1147,1704,1824,1307,1406,1462,1041,1413
Rizatriptan,1147,1704,1824,1307,1406,1462,1041,1413
Doxofylline,1147,1704,2239,1750,1020,991,1041,1413.14285714285
Tecadenoson,1147,1704,2239,1750,1020,991,1041,1413.14285714285
Clotrimazole,1147,1387,2231,1581,657,1850,1041,1413.42857142857
Oxymetholone,1147,1972,1264,1860,1259,1354,1041,1413.85714285714
Dihomo-gamma-linolenic acid,1147,1614,1586,1167,1794,1549,1041,1414
Tenofovir disoproxil,696,1372,1358,1860,1759,1818,1041,1414.85714285714
Apixaban,1147,1251,1478,1343,1794,1867,1041,1417.28571428571
Darexaban,1147,1251,1478,1343,1794,1867,1041,1417.28571428571
Edoxaban,1147,1251,1478,1343,1794,1867,1041,1417.28571428571
Eribaxaban,1147,1251,1478,1343,1794,1867,1041,1417.28571428571
Letaxaban,1147,1251,1478,1343,1794,1867,1041,1417.28571428571
Rivaroxaban,1147,1251,1478,1343,1794,1867,1041,1417.28571428571
Varenicline,1147,1972,1567,726,1794,1685,1041,1418.85714285714
"(6S)-5,6,7,8-tetrahydrofolate",1147,1972,1093,1860,954,1867,1041,1419.14285714285
2-bromophenol,1147,1972,1093,1860,954,1867,1041,1419.14285714285
3-DIPHENOL-6-NITRO-3H-BENZO[DE]ISOCHROMEN-1-ONE,1147,1972,1093,1860,954,1867,1041,1419.14285714285
"5,10-Methylene-6-Hydrofolic Acid",1147,1972,1093,1860,954,1867,1041,1419.14285714285
"6-ETHYL-5-PHENYLPYRIMIDINE-2,4-DIAMINE",1147,1972,1093,1860,954,1867,1041,1419.14285714285
Flucytosine,1147,1972,1093,1860,954,1867,1041,1419.14285714285
Levoleucovorin,1147,1972,1093,1860,954,1867,1041,1419.14285714285
LY341770,1147,1972,1093,1860,954,1867,1041,1419.14285714285
N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,1147,1972,1093,1860,954,1867,1041,1419.14285714285
N-Carboxymethionine,1147,1972,1093,1860,954,1867,1041,1419.14285714285
"N,O-Didansyl-L-Tyrosine",1147,1972,1093,1860,954,1867,1041,1419.14285714285
Sp-722,1147,1972,1093,1860,954,1867,1041,1419.14285714285
Sp-876,1147,1972,1093,1860,954,1867,1041,1419.14285714285
Tosyl-D-Proline,1147,1972,1093,1860,954,1867,1041,1419.14285714285
Setiptiline,1147,1798,1460,1530,1605,1354,1041,1419.28571428571
Tramazoline,1147,1798,1460,1530,1605,1354,1041,1419.28571428571
Clofarabine,534,1258,1853,1750,1640,1867,1041,1420.42857142857
ABC-294640,1147,1435,1961,1587,1794,987,1041,1421.71428571428
Pyridoxal Phosphate,984,1470,1009,1851,1794,1845,1005,1422.57142857142
(2s)-Pyrrolidin-2-Ylmethylamine,1147,1972,1593,813,1528,1867,1041,1423
1-(1-phenylcyclopentyl)methylamine,1147,1972,1593,813,1528,1867,1041,1423
1-biphenyl-2-ylmethanamine,1147,1972,1593,813,1528,1867,1041,1423
Teneligliptin,1147,1972,1593,813,1528,1867,1041,1423
"2,4-Diaminobutyric Acid",290,875,2240,1860,1794,1867,1041,1423.85714285714
3-Hydroxyhippuric acid,290,875,2240,1860,1794,1867,1041,1423.85714285714
"3,6,9,12,15-Pentaoxaheptadecane",290,875,2240,1860,1794,1867,1041,1423.85714285714
"4,5,6,7-Tetrachloro-3h-Isobenzofuran-1-One",290,875,2240,1860,1794,1867,1041,1423.85714285714
Bithionol,290,875,2240,1860,1794,1867,1041,1423.85714285714
"10-Propargyl-5,8-Dideazafolic Acid",1147,1972,965,1860,1117,1867,1041,1424.14285714285
Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide,1147,1387,2240,1406,1465,1867,459,1424.42857142857
ASP-3026,1147,1972,1846,1860,954,1172,1041,1427.42857142857
"5-(2-hydroxyethyl)nonane-1,9-diol",1147,1972,1875,1264,1485,1867,383,1427.57142857142
Lubiprostone,534,1003,2198,1820,1794,1608,1041,1428.28571428571
Edrophonium,1147,1972,1935,1334,1216,1354,1041,1428.42857142857
Synephrine,1147,1077,1620,1860,1794,1462,1041,1428.71428571428
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",1147,1372,2240,853,1485,1867,1041,1429.28571428571
Bethanechol,1147,1819,1954,1321,1528,1201,1041,1430.14285714285
"1,3,5-BENZENETRICARBOXYLIC ACID",1147,1168,1468,1530,1794,1867,1041,1430.71428571428
2-[(2-methoxy-5-methylphenoxy)methyl]pyridine,1147,1168,1468,1530,1794,1867,1041,1430.71428571428
"2,6-dicarboxynaphthalene",1147,1168,1468,1530,1794,1867,1041,1430.71428571428
4-[(5-methoxy-2-methylphenoxy)methyl]pyridine,1147,1168,1468,1530,1794,1867,1041,1430.71428571428
Deramciclane,1147,1752,1745,1239,1406,1685,1041,1430.71428571428
SEBACIC ACID,1147,1168,1468,1530,1794,1867,1041,1430.71428571428
Ridogrel,534,1675,1427,1860,1794,1685,1041,1430.85714285714
Propericiazine,1147,1959,1382,1458,1605,1425,1041,1431
Mezlocillin,1147,1972,1303,1860,837,1867,1041,1432.42857142857
Enprofylline,1147,1451,1571,1750,1465,1608,1041,1433.28571428571
Dihydrofolic Acid,696,1091,1813,1860,1794,1739,1041,1433.42857142857
Biguanide,1147,1609,1813,779,1794,1867,1041,1435.71428571428
Doconexent,1147,1609,1813,779,1794,1867,1041,1435.71428571428
Gliclazide,1147,1609,1813,779,1794,1867,1041,1435.71428571428
Filaminast,1147,1972,1447,1628,1359,1462,1041,1436.57142857142
GSK-356278,1147,1972,1447,1628,1359,1462,1041,1436.57142857142
Mepyramine,1147,1701,1997,1122,1324,1831,949,1438.71428571428
Daidzin,1147,1630,1282,1321,1794,1867,1041,1440.28571428571
Nitrazepam,909,1338,1289,1860,1782,1867,1041,1440.85714285714
Dimercaprol,1147,1972,784,1660,1616,1867,1041,1441
Desoximetasone,1147,1345,1925,1860,942,1831,1041,1441.57142857142
Diflorasone,1147,1345,1925,1860,942,1831,1041,1441.57142857142
"Hexane-1,6-Diol",1147,1345,1925,1860,942,1831,1041,1441.57142857142
TAK-901,1147,1673,1550,1860,954,1867,1041,1441.71428571428
N-Cyclohexyl-N'-(4-Iodophenyl)Urea,1147,1564,2240,1860,1185,1075,1041,1444.57142857142
Aprepitant,1147,1819,1970,939,1522,1675,1041,1444.71428571428
Pyrvinium,1147,1250,1620,1860,1406,1790,1041,1444.85714285714
Evatanepag,290,1412,2033,1860,1794,1685,1041,1445
Galeterone,1147,1972,1761,779,1794,1623,1041,1445.28571428571
Orteronel,1147,1972,1761,779,1794,1623,1041,1445.28571428571
Vigabatrin,909,1603,1699,1212,1794,1859,1041,1445.28571428571
Gestodene,1147,788,1887,1660,1745,1867,1041,1447.85714285714
4-(4-FLUOROBENZYL)PIPERIDINE,1147,1168,2240,881,1794,1867,1041,1448.28571428571
6-[2-(1H-INDOL-6-YL)ETHYL]PYRIDIN-2-AMINE,1147,1168,2240,881,1794,1867,1041,1448.28571428571
Brivaracetam,1147,1972,1914,1098,1794,1172,1041,1448.28571428571
LY-2811376,1147,1168,2240,881,1794,1867,1041,1448.28571428571
MMI-175,1147,1168,2240,881,1794,1867,1041,1448.28571428571
N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide,1147,1168,2240,881,1794,1867,1041,1448.28571428571
"N~3~-(3-PYRIDIN-3-YLBENZYL)PYRIDINE-2,3-DIAMINE",1147,1168,2240,881,1794,1867,1041,1448.28571428571
"N~3~-BENZYLPYRIDINE-2,3-DIAMINE",1147,1168,2240,881,1794,1867,1041,1448.28571428571
Colchicine,1147,1043,2240,1660,1547,1462,1041,1448.57142857142
INCB-9471,1147,1739,2180,1458,1547,1035,1041,1449.57142857142
Glisoxepide,1147,1972,1745,1098,1794,1354,1041,1450.14285714285
Nafamostat,1147,1972,2033,1860,931,1172,1041,1450.85714285714
Cerulenin,1147,1972,1882,1057,1745,1313,1041,1451
Pretomanid,1147,1972,1882,1057,1745,1313,1041,1451
Indobufen,1147,1271,1617,1860,1359,1867,1041,1451.71428571428
"1,4-Diethylene Dioxide",290,1072,2240,1860,1794,1867,1041,1452
"2,4-Dinitrophenol",1147,1591,2062,1406,1359,1867,732,1452
Buclizine,1147,1840,2084,1702,1359,991,1041,1452
Carbinoxamine,1147,1840,2084,1702,1359,991,1041,1452
Doxylamine,1147,1840,2084,1702,1359,991,1041,1452
Biperiden,1147,1884,1998,1702,1485,913,1041,1452.85714285714
Entacapone,1147,1972,1601,939,1605,1867,1041,1453.14285714285
Diundecyl Phosphatidyl Choline,1147,1972,1749,1660,739,1867,1041,1453.57142857142
Carbetocin,1147,1752,1363,1458,1794,1623,1041,1454
Cycloleucine,1147,1160,1661,1796,1794,1584,1041,1454.71428571428
"Dcka, 5,7-Dichlorokynurenic Acid",1147,1160,1661,1796,1794,1584,1041,1454.71428571428
bis(4-nitrophenyl) hydrogen phosphate,696,1091,2240,1458,1794,1867,1041,1455.28571428571
Caprylic acid,1147,1387,2005,1406,1794,1408,1041,1455.42857142857
Methohexital,534,1698,1768,1773,1605,1769,1041,1455.42857142857
"1,2,4-Triazole",1147,1827,1632,881,1794,1867,1041,1455.57142857142
Alclometasone,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Ciclopirox,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Clobetasol propionate,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Clocortolone,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Cortisone acetate,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Deflazacort,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Desonide,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Difluprednate,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Fluocinolone Acetonide,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Fluorometholone,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Flurandrenolide,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Fluticasone furoate,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Loteprednol,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Medrysone,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Mometasone,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Paramethasone,1147,1318,2109,1860,852,1867,1041,1456.28571428571
Mivacurium,1147,1876,2221,1167,1547,1201,1041,1457.14285714285
Pipecuronium,1147,1876,2221,1167,1547,1201,1041,1457.14285714285
Phosphoaminophosphonic Acid Guanylate Ester,1147,1704,1550,1343,1794,1623,1041,1457.42857142857
Ethyl carbamate,534,1689,1723,1628,1760,1831,1041,1458
Ribulose-5-Phosphate,1147,1134,2240,1860,1794,991,1041,1458.14285714285
Boric acid,1147,1972,891,1628,1794,1739,1041,1458.85714285714
Flurazepam,1147,1827,1768,768,1794,1867,1041,1458.85714285714
Pyrazole,909,1485,1613,1511,1794,1859,1041,1458.85714285714
Tasosartan,534,1819,1812,1860,1485,1667,1041,1459.71428571428
Docosanol,1147,1237,2198,1728,1406,1462,1041,1459.85714285714
Monobenzone,1147,1972,1853,1628,712,1867,1041,1460
Carfilzomib,984,943,1736,1860,1794,1867,1041,1460.71428571428
Raltitrexed,1147,1972,1282,1860,1056,1867,1041,1460.71428571428
Vindesine,1147,683,2240,1860,1794,1462,1041,1461
Cyclothiazide,1147,1338,1736,1581,1794,1592,1041,1461.28571428571
Benzylamine,1147,1704,1593,1860,1794,1092,1041,1461.57142857142
Rivanicline,1147,1704,1550,1860,1794,1138,1041,1462
Norvaline,1147,1972,893,1660,1794,1739,1041,1463.71428571428
Pralatrexate,1147,1972,1210,1860,1154,1867,1041,1464.42857142857
NADH,1147,1387,1587,1702,1794,1599,1041,1465.28571428571
Lafutidine,1147,1738,1404,1860,1794,1278,1041,1466
Pregnenolone,1147,1909,1962,1511,1070,1623,1041,1466.14285714285
Saccharin,1147,1972,1765,678,1794,1867,1041,1466.28571428571
SB-705498,1147,1972,1765,678,1794,1867,1041,1466.28571428571
Diosmetin,1147,1972,1270,1379,1794,1662,1041,1466.42857142857
Cevimeline,1147,1840,1979,1660,1406,1201,1041,1467.71428571428
Mepenzolate,1147,1840,1979,1660,1406,1201,1041,1467.71428571428
Radicicol,1147,1412,1543,1860,1406,1867,1041,1468
Phenacemide,1147,1972,1846,610,1794,1867,1041,1468.14285714285
Mirabegron,1147,1412,1998,1343,1794,1549,1041,1469.14285714285
Safinamide,534,1885,1582,1860,1616,1766,1041,1469.14285714285
Solabegron,1147,1412,1998,1343,1794,1549,1041,1469.14285714285
Acyline,1147,1752,1519,1167,1794,1867,1041,1469.57142857142
Voglibose,1147,1614,1875,955,1794,1867,1041,1470.42857142857
Telaprevir,1147,1091,2221,1860,1108,1831,1041,1471.28571428571
N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,1147,1074,1956,1860,1359,1867,1041,1472
Ethosuximide,1147,1972,1184,1860,1794,1313,1041,1473
Enoxacin,1147,1972,1751,1860,675,1867,1041,1473.28571428571
Malonyl-CoA,1147,1972,1273,1860,1794,1226,1041,1473.28571428571
Flumazenil,1147,1296,2084,1219,1663,1867,1041,1473.85714285714
Aurothioglucose,534,1168,2062,1860,1794,1867,1041,1475.14285714285
"16,17-Androstene-3-Ol",1147,1091,2240,1860,1082,1867,1041,1475.42857142857
Cysteinesulfonic Acid,1147,1091,2240,1860,1082,1867,1041,1475.42857142857
Miglustat,696,1011,2229,1835,1794,1725,1041,1475.85714285714
